"Day","Gross sales","Net sales","Discounts","Returns","Taxes","Shipping charges","Total sales","Day (previous_year)","Gross sales (previous_year)","Net sales (previous_year)","Discounts (previous_year)","Returns (previous_year)","Taxes (previous_year)","Shipping charges (previous_year)","Total sales (previous_year)","Gross sales (previous_year) ","Net sales (previous_year) ","Discounts (previous_year) ","Returns (previous_year) ","Taxes (previous_year) ","Shipping charges (previous_year) ","Total sales (previous_year) "
"2025-09-17",97074.6,84236.87,-215.5,-12622.23,9188.74,320,93745.61,"2024-09-17",47833.31,26228.98,-273.1,-21331.23,2011.03,137.62,28377.63,102.943,221.159,21.091,40.827,356.917,132.524,230.35
"2025-09-18",44746.99,31587.32,-973.19,-12186.48,3363.61,120,35070.93,"2024-09-18",51766.22,36934.17,-2385.32,-12446.73,3392.6,161.6,40488.37,-13.559,-14.476,59.2,2.09,-0.854,-25.742,-13.38
"2025-09-19",45629.9,37746.52,-6,-7877.38,4546.7,75,42368.22,"2024-09-19",47667.23,37202.4,-72.25,-10392.58,3520.99,122.59,40845.98,-4.274,1.462,91.695,24.201,29.131,-38.82,3.726
"2025-09-20",57708.4,53603.15,-58.25,-4047,5856.59,75,59534.74,"2024-09-20",48901.01,38935.24,-390.12,-9575.65,4193.57,120,43248.81,18.01,37.672,85.068,57.736,39.656,-37.5,37.656
"2025-09-21",36737.7,34462.5,-48.8,-2226.4,3830.38,235,38527.88,"2024-09-21",49365.69,46571.9,-93.9,-2699.89,4888.81,176.28,51636.99,-25.58,-26.001,48.029,17.537,-21.65,33.31,-25.387
"2025-09-22",33192.81,27274.66,-66.25,-5851.9,3122.87,165,30562.53,"2024-09-22",41968.25,40388.25,-375.1,-1204.9,3411.48,80,43879.73,-20.909,-32.468,82.338,-385.675,-8.459,106.25,-30.349
"2025-09-23",39063.49,17362.43,-184.99,-21516.07,2345.15,162.5,19870.08,"2024-09-23",33094.27,22969.79,-355.4,-9769.08,2270.76,107.53,25348.08,18.037,-24.411,47.948,-120.246,3.275,51.12,-21.611
"2025-09-24",52284.05,39224.33,-826.6,-12233.12,4839.12,75,44138.45,"2024-09-24",54366.65,43932.45,-403.2,-10031,4405.31,135,48472.76,-3.83,-10.716,-105.009,-21.953,9.847,-44.444,-8.941
"2025-09-25",32033.03,23639.53,0,-8393.5,2447.74,591.42,26678.69,"2024-09-25",52128.5,43829.71,-145.21,-8153.58,4756.28,77.33,48663.32,-38.549,-46.065,100,-2.942,-48.536,664.8,-45.177
"2025-09-26",36977.78,29161.35,0,-7816.43,3179.4,398.54,32739.29,"2024-09-26",57317.89,49003.67,-570.2,-7744.02,4397.38,108.52,53509.57,-35.486,-40.491,100,-0.935,-27.697,267.25,-38.816
"2025-09-27",38358.81,36016.61,-55.2,-2287,4150.82,311.81,40479.24,"2024-09-27",59744.94,50989.99,-363.54,-8391.41,5338.16,75,56403.15,-35.795,-29.365,84.815,72.745,-22.242,315.746,-28.232
"2025-09-28",33830.6,31149.7,0,-2680.9,3341.55,494.86,34986.11,"2024-09-28",57937.16,52520.08,-375.42,-5041.66,5471.1,127.45,58118.63,-41.608,-40.689,100,46.825,-38.923,288.277,-39.802
