Product title,Product variant title,Product variant SKU,Net items sold,Gross Sales,Discounts,Returns,Net Sales,Taxes,Total Sales,Cost of goods sold
Faux Leather Trimmed Poncho Sleeve Jacket,uuytah / O/S,253998-11,229,38561.15,-1653.51,0,36907.64,3871.01,40778.65,10305
,,,195,23329.39,-249.45,-2101,20978.94,2215.81,23194.75,1768.82
Maxi - Scuba Patio Pant Extended,uuytah / L,2519-SHSP,63,10851.3,0,-1216,9635.3,986.61,10621.91,3717
Maxi - Scuba Patio Pant Extended,uuytah / XL,2519-SHSP,41,7140.55,-73.62,-608,6458.93,595.84,7054.77,2419
Pokoloko - Mia Rinkon,RED / O/S,ACS-W10,25,6110,-58.75,-235,5816.25,664.46,6480.71,2700
Maxi - Scuba Marlene Cardigan,uuytah / L,5022-SHSC,30,5799.44,0,-358,5441.44,581.75,6023.19,2070
Maxi - Scuba Elaine Tank,uuytah / XL,1182-SHST,47,5587.48,0,-330,5257.48,541.2,5798.68,1927
Maxi - Scuba Elaine Tank,uuytah / M,1182-SHST,46,5453.62,-53.06,-220,5180.56,498.5,5679.06,1886
Maxi - Scuba Elaine Tank,uuytah / L,1182-SHST,46,5763.98,0,-660,5103.98,517,5620.98,1886
Maxi - Scuba Elaine Tank,IVORY / M,1182-SHST,44,4971.95,0,0,4971.95,516.32,5488.27,1804
122 - Spanner Essentials - The Dickie,WHITE,E122,92,4782.41,-36.01,-196,4550.4,492.85,5043.25,1803.2
Maxi - Scuba Kirsten Mock Neck Top,uuytah / M,1183-SHST,29,5364.07,-75.62,-780,4508.45,497.77,5006.22,1653
Sweet Traditions - Favourite Treat Recipes for Holiday Baking by Shepherd’s,ENGLISH,SWEET-TRADITIONS-1,300,4665.78,-52.25,-36.16,4577.37,427.27,5004.64,0
Echo Verde - The Dog Walker Rinkon,DARK NAVY / One size,EV8003,35,4500,0,-125,4375,496.25,4871.25,1890
Maxi - Scuba Elaine Tank,IVORY / XL,1182-SHST,39,5324.11,0,-990,4334.11,455.4,4789.51,1599
Maxi - Scuba Elaine Tank,IVORY / L,1182-SHST,38,4552.43,-53.35,-330,4169.08,420.2,4589.28,1558
Echo Verde - The Dog Walker Rinkon,CLOUD / One size,EV8003,33,4272.42,-31.25,-125,4116.17,410.94,4527.11,1782
Echo Verde - The Dog Walker Rinkon,LODEN / One size,EV8003,30,3750,0,0,3750,440,4190,1620
Maxi - Bamboo Nelly Striped Terrific Tee,uuytah/WHITE / M,1180-SHBT,34,3750.61,-51.31,-106,3593.3,359.88,3953.18,1394
Maxi - Scuba Marlene Cardigan,uuytah / XL,5022-SHSC,20,3901.35,-179,-179,3543.35,318.62,3861.97,1380
Maxi - Scuba Patio Pant Extended,uuytah / M,2519-SHSP,23,4104,0,-608,3496,328.32,3824.32,1357
Pokoloko - City Collection Button Shirt Dress - Nope,GREY / ONE SIZE,IKI-CSD1,31,3454.17,0,0,3454.17,341,3795.17,1457
Lisette - Paris Ankle Trouser,uuytah / 12,935-1387-01,25,3990,0,-665,3325,413.63,3738.63,1377.5
Maxi - Bamboo Nelly Striped Terrific Tee,IVORY/LIGHT GREY / M,1180-SHBT,31,3474.41,-51.31,-106,3317.1,377.9,3695,1271
Nikki Jones - Reversible Faux Fur Long Coat - Nope,uuytah / L,8129-376,15,3492.69,0,-308,3184.69,337.75,3522.44,1377.6
Maxi - 7-Piece Sterling Silver Bangle Set,SILVER / 6.5 cm,BR0246,15,3360,0,-210,3150,359.1,3509.1,1056.45
Shepherds - Ponte Theresa T-neck Dress,CHARCOAL MIX / L,3091-SHPD,20,3634,0,-474,3160,297.04,3457.04,1320
Maxi - Scuba Marlene Cardigan,uuytah / M,5022-SHSC,17,3580,0,-537,3043,359.79,3402.79,1173
Echo Verde - The Dog Walker Rinkon,DARK TEAL / ONE SIZE,EV8003,23,3375,0,-500,2875,343.75,3218.75,1242
Maxi - Bamboo Nelly Striped Terrific Tee,uuytah/WHITE / L,1180-SHBT,27,3074,0,-212,2862,350.86,3212.86,1107
Maxi - Scuba Pant,uuytah / L,2515-SP,19,3759.01,0,-888,2871.01,325.6,3196.61,1083
Brave - Mananas Napa Belt,uuytah PEBBLED / ONE SIZE,3191 MANANAS,25,3680,0,-805,2875,290.95,3165.95,1253
Pokoloko - Mia Rinkon,KELLY GREEN / O/S,ACS-W15,12,3055,0,-235,2820,296.1,3116.1,1296
Maxi - Bamboo Nelly Striped Terrific Tee,uuytah/CHARCOAL / M,1180-SHBT,26,2968,0,-212,2756,273.48,3029.48,1066
Maxi - Scuba Elaine Tank,uuytah / XXL,1182-SHST,25,3190,0,-440,2750,272.8,3022.8,1075
Nikki Jones - Vegan Leather Quilted Convertible Jacket to Vest - Nope,uuytah / L,8005-601,12,2971.19,0,-224.4,2746.79,271.51,3018.3,1224
Maxi - Bamboo Nelly Striped Terrific Tee,IVORY/LIGHT GREY / L,1180-SHBT,25,2944.98,-51.31,-212,2681.67,286.2,2967.87,1025
Maxi - Bamboo Nelly Striped Terrific Tee,WHITE/NAVY / M,1180-SHBT,25,2862,0,-212,2650,271.36,2921.36,1025
Maxi - Scuba Kirsten Mock Neck Top,uuytah / L,1183-SHST,17,2964,0,-312,2652,268.32,2920.32,969
Echo Verde - The Dog Walker Rinkon,AEGEAN / One size,EV8003,21,3125,0,-500,2625,272.5,2897.5,1134
Maxi - kard Terry Candy Jogger Two,uuytah / L,1304-SCP,17,3198.1,-149.13,-462,2586.97,283.21,2870.18,1003
Alquema - Long Estrella Dress,TWILIGHT BLUE TO PEACOCK / ONE SIZE,AD1072L,5,2550,0,0,2550,290.7,2840.7,1150
Maggies Snaps - Maggies Magnets,Default Title,1056257 - MSNP-4,48,2618.24,-77.52,0,2540.72,276.64,2817.36,1141.44
Maxi - Scuba Kirsten Mock Neck Top,uuytah / XL,1183-SHST,16,3397.55,-75.25,-780,2542.3,222.97,2765.27,912
Alquema - Collare Coat,TWILIGHT BLUE TO PEACOCK / ONE SIZE,AC2404,5,2475,0,0,2475,282.15,2757.15,1115
Shepherds - Ponte Theresa T-neck Dress,CHARCOAL MIX / M,3091-SHPD,16,2844,-39.5,-316,2488.5,268.21,2756.71,1056
Maxi - Scuba Pant,uuytah / XL,2515-SP,17,2867.64,-71.27,-296,2500.37,239.76,2740.13,969
Gabby Isabella - Crinkle Skirt - Nope,CHARCOAL / L/XL,525690-Charcoal-L/XL,26,2486.59,0,0,2486.59,253.43,2740.02,1224.3
Maxi - Bamboo Nelly Striped Terrific Tee,uuytah/CHARCOAL / L,1180-SHBT,23,2650,0,-212,2438,252.28,2690.28,943
Maxi - kard Terry Candy Jogger Two,uuytah / XL,1304-SCP,15,2894.53,0,-462,2432.53,247.94,2680.47,885
Nikki Jones - Vegan Leather Quilted Convertible Jacket to Vest - Nope,uuytah / M,8005-601,10,2618,0,-224.4,2393.6,277.5,2671.1,1067.6
Maxi - Radiant Orbit Necklace,SILVER,CO0878,3,2394,0,0,2394,247.38,2641.38,830.43
Maxi - Bamboo Nelly Striped Terrific Tee,IVORY/LIGHT GREY / XL,1180-SHBT,22,2415.59,-51.34,0,2364.25,261.22,2625.47,902
